,consent,skate_stance,ollie_foot,bowl_foot,downhill_foot,snowboard_foot,surf_foot,friends_share_stance,parents_share_stance,fav_skater_share_stance,changed_stance,stance_awareness,consistent_stance,hand_write,hand_throw,hand_hammer,foot_kick,foot_sweep,foot_pedal,foot_chair,eye_test1,eye_test2,years_skate,freq_skate,expertise,gender,race,age,ethnicity,residence_locality,home_locality,SS,HS,FS,ES
29,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-10.0,0.0,-10.0,-5.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,5.0,-10.0,5.0,11.0,4,4.0,0,6,3,1,3,3,10.0,10.0,8.333333333333334,-2.5
30,1,-10.0,5.0,-10.0,-10.0,0.0,-10.0,0.0,0.0,-5.0,-10.0,0.0,0.0,5.0,0.0,5.0,5.0,-5.0,5.0,-5.0,0.0,0.0,11.0,5,4.0,0,6,2,1,3,3,-6.25,3.3333333333333335,1.6666666666666667,0.0
31,1,-10.0,-10.0,-5.0,-5.0,-5.0,-10.0,5.0,5.0,-5.0,-10.0,-10.0,5.0,10.0,10.0,10.0,-10.0,-5.0,-5.0,-5.0,-10.0,5.0,20.0,0,10.0,0,3,2,2,3,3,-7.5,10.0,-6.666666666666667,-2.5
32,1,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,-5.0,-5.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,-5.0,20.0,5,6.0,3,6,2,1,4,4,10.0,10.0,6.666666666666667,2.5
33,1,10.0,10.0,5.0,0.0,0.0,5.0,-5.0,5.0,0.0,-10.0,5.0,0.0,10.0,10.0,5.0,0.0,0.0,-5.0,0.0,-10.0,5.0,20.0,5,6.0,0,6,2,1,4,4,6.25,8.333333333333334,-1.6666666666666667,-2.5
34,1,-10.0,-10.0,-10.0,-10.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,0.0,5.0,5.0,5.0,5.0,5.0,-5.0,5.0,5.0,-10.0,-5.0,5.0,3,4.0,0,6,5,1,4,4,-10.0,5.0,5.0,-7.5
35,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-5.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,5.0,-10.0,10.0,-10.0,20.0,5,6.0,0,6,2,1,4,4,-10.0,3.3333333333333335,1.6666666666666667,0.0
36,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,5.0,-5.0,-10.0,5.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,5.0,-10.0,-10.0,5.0,5,8.0,0,6,1,2,3,3,-10.0,-10.0,0.0,-10.0
37,1,10.0,10.0,10.0,10.0,10.0,10.0,5.0,-5.0,-5.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,20.0,0,10.0,0,6,2,2,3,3,10.0,10.0,10.0,10.0
38,1,-10.0,-10.0,-5.0,-10.0,-5.0,-10.0,-5.0,0.0,10.0,5.0,10.0,-5.0,10.0,10.0,10.0,10.0,-5.0,-5.0,-5.0,-10.0,10.0,11.0,5,6.0,0,6,2,2,3,3,-8.75,10.0,0.0,0.0
